Start state index,Action index,Finish state index,Probability for Triple,Reward for Triple,Prob x Reward
54,0.017857107142874997,7.66666666666667,2.647541186666667,0.13690448809537503,"[19, 0, 9, 2, 6, 0, 16, 0, 3, 0, 3, 2, 3, 2, 3, 0, 24, 2, 24]"
55,0.035714214285749994,7.333333333333335,2.4017811866666667,0.2619042380955,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 2, 16, 0, 3, 2, 3, 0, 24, 2, 24]"
56,0.02040810204087755,6.833334500001168,1.7402814587733344,0.1394553877554728,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 2, 15, 2, 15, 2, 15]"
57,0.008928553571437499,8.000000000000004,2.6475411866666674,0.07142842857150002,"[19, 0, 9, 2, 22, 0, 16, 0, 3, 0, 3, 2, 3, 0, 3, 0, 24, 2, 24]"
58,0.035714214285749994,7.000000000000002,2.511007853333334,0.24999950000025004,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 0, 3, 2, 3, 2, 3, 0, 3]"
59,0.017857107142874997,7.666666666666669,2.647541186666667,0.136904488095375,"[19, 0, 9, 2, 6, 0, 16, 0, 3, 0, 3, 2, 3, 0, 24, 2, 24, 2, 24]"
60,0.010204061224500002,7.452381500001171,2.149686175999997,0.07604455709434312,"[19, 0, 19, 0, 10, 2, 12, 2, 20, 0, 20, 0, 7, 0, 4, 2, 5, 0, 5, 0, 5]"
61,0.010204051020438774,7.83333450000117,1.7785501137066682,0.0799317448981752,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 2, 13, 2, 13, 0, 8, 0, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
62,0.0029154402332536447,8.666669000002338,1.7966262630400018,0.02526715549089895,"[19, 0, 19, 0, 19, 0, 9, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
63,0.005102025510219387,8.166667833334502,1.822786913706668,0.04166654761916072,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 0, 15, 0, 15, 0, 15, 2, 15, 0, 11, 0, 23, 2, 23]"
64,0.0089285625,7.345237166666666,2.355768664314232,0.06558240911990625,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 0, 21, 2, 21, 0, 0, 0, 17, 2, 17, 2, 17]"
65,0.010204051020438774,7.833334500001169,1.7975476893866682,0.07993174489817519,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 2, 15, 0, 11, 0, 23]"
66,0.008928553571437499,8.000000000000004,2.511007853333334,0.07142842857150002,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 0, 3, 0, 3, 0, 24]"
67,0.0025510127551096936,7.833334500001168,1.7402814587733348,0.019982936224543793,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 0, 15, 0, 15, 0, 11]"
68,0.010204051020438774,7.833334500001169,1.7894727803733346,0.07993174489817519,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
69,0.035714214285749994,6.999999999999998,1.8309117270400002,0.2499995000002499,"[19, 0, 9, 2, 13, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
70,0.017857107142874997,7.666666666666665,2.6475411866666674,0.13690448809537495,"[19, 0, 9, 2, 22, 0, 16, 0, 3, 0, 3, 2, 3, 2, 3, 0, 18, 2, 18]"
71,0.0089285625,7.238094,2.3352964272718855,0.06462577465987501,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 2, 21, 2, 21, 2, 21]"
72,0.017857125,6.9920626666666665,2.350842018058616,0.1248581370465,"[19, 0, 1, 0, 2, 2, 14, 0, 21, 0, 21, 2, 21, 2, 21, 0, 0, 2, 0, 0, 17, 2, 17]"
73,0.010204061224500002,6.785714833334506,1.988554997333331,0.06924184961134312,"[19, 0, 19, 0, 10, 2, 12, 2, 20, 0, 20, 0, 7, 2, 7, 2, 7, 2, 7, 0, 4]"
74,0.020408122449000005,7.11904816666784,2.112986015999998,0.14528640670568627,"[19, 0, 19, 0, 10, 2, 12, 2, 20, 0, 7, 2, 7, 2, 7, 0, 4, 2, 5, 0, 5]"
75,0.002232140625,8.051586166666667,2.3516742169057627,0.01797227257830469,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 14, 0, 14, 0, 21, 0, 21, 0, 0, 0, 17, 2, 17]"
76,0.0408162040817551,6.500001166667835,1.7402814587733342,0.2653053741503606,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 2, 15, 2, 15, 2, 15, 2, 15]"
77,0.0089285625,7.345237166666666,2.3516742169057627,0.06558240911990625,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 0, 21, 2, 21, 2, 21, 0, 0, 0, 17, 2, 17]"
78,0.07142842857149999,6.666666666666668,2.5110078533333335,0.47618952381,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 2, 3, 2, 3, 0, 3, 2, 3]"
79,0.017857125,6.8452371666666645,2.332633390961016,0.12223625573981248,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 2, 21, 2, 21, 2, 21, 0, 0, 2, 0]"
80,0.002232140625,7.904760666666669,2.33316599822319,0.017644537414968756,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 2, 21, 0, 21, 0, 0]"
81,0.00446428125,7.698411666666668,2.355768664314232,0.03436787485828126,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 0, 21, 0, 21, 0, 0, 0, 17, 2, 17, 2, 17]"
82,0.035714214285749994,7.333333333333335,2.314399853333333,0.2619042380955,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 2, 16, 2, 16, 0, 3, 0, 24, 2, 24]"
83,0.02040810204087755,7.500001166667836,1.811864247040001,0.15306078911605786,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 2, 15, 0, 11, 0, 23, 2, 23]"
84,0.0089285625,7.345237166666666,2.3483986589789874,0.06558240911990625,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 2, 21, 2, 21, 0, 0, 0, 17]"
85,0.017857107142874997,7.333333333333334,2.5110078533333335,0.13095211904774998,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 0, 3, 2, 3]"
86,0.008928553571437499,7.999999999999997,2.647541186666667,0.07142842857149996,"[19, 0, 9, 2, 6, 0, 16, 0, 3, 2, 3, 0, 3, 0, 3, 0, 18, 2, 18]"
87,0.07142842857149999,6.666666666666669,2.511007853333334,0.47618952381000007,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 2, 3, 0, 3, 2, 3]"
88,0.07142842857149999,6.666666666666667,2.314399853333334,0.47618952380999996,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 2, 16, 2, 16, 0, 3, 0, 3, 2, 3]"
